"You will be redirected to the paysafecash website when you place an order.","Θα οδηγηθείτε στην σελίδα της paysafecash όταν κάνετε την παραγγελία σας."
"You will be redirected to paysafecash in a few seconds.","Θα οδηγηθείτε στην paysafecash σε λίγα δευτερόλεπτα."
"Paysafecash is a cash payment option. Generate a QR/barcode and pay at a nearby shop. More information and our payment points can be found at <a href=""https://www.paysafecash.com"" target=""_blank"">www.paysafecash.com</a>","Το Paysafecash συνιστά μια μέθοδο πληρωμής μετρητών. Δημιούργησε έναν κωδικό QR ή Barcode και πλήρωσε σε ένα κατάστημα που βρίσκεται κοντά σου. Στη σελίδα <a href=""https://www.paysafecash.com"" target=""_blank"">www.paysafecash.com</a> θα βρεις περισσότερες πληροφορίες καθώς και τα παραρτήματα συνεργατών."
"If the test mode is enabled you are making transactions against paysafecash test environment. Therefore the test environment API key is necessary to be set.","If the test mode is enabled you are making transactions against paysafecash test environment. Therefore the test environment API key is necessary to be set."
"This key is provided by the paysafecash support team. There is one key for the test- and one for production environment.","This key is provided by the paysafecash support team. There is one key for the test- and one for production environment."
"This field specifies the used Reporting Criteria. You can use this parameter to distinguish your transactions per brand/URL. Use this field only if agreed beforehand with the paysafecash support team. The value has to be configured in both systems.","This field specifies the used Reporting Criteria. You can use this parameter to distinguish your transactions per brand/URL. Use this field only if agreed beforehand with the paysafecash support team. The value has to be configured in both systems."
"Please select all countries where paysafecash is live and your webshop is live. For details about the available countries for paysafecash, please align with the paysafecash support team.","Please select all countries where paysafecash is live and your webshop is live. For details about the available countries for paysafecash, please align with the paysafecash support team."
"Paysafecash","Paysafecash"
"<a href=""/#"">Here</a> you can find the Installation instructions","<a href=""/#"">Here</a> you can find the Installation instructions"
"%s Your payment was successful. Thank you for paying with Paysafecash. Transaction ID: %s","%s Η πληρωμή σου ήταν επιτυχής. Ευχαριστούμε που πλήρωσες με το Paysafecash. Αριθμός συναλλαγής: %s"
"Thank you for your order! Please find the nearest payment point to pay.","Ευχαριστούμε για την παραγγελία! Παρακαλούμε για να πληρώσεις αναζήτησε το πλησιέστερο παράρτημα συνεργατών."
"Unfortunately, a technical error has occurred. Please try again later or contact the Support Team.","Δυστυχώς προέκυψε τεχνικό σφάλμα. Παρακαλούμε προσπάθησε ξανά αργότερα ή επικοινώνησε με την ομάδα υποστήριξης."
"%s Payment interrupted! Transaction number: %s","%s η πληρωμή διεκόπη! Αριθμός συναλλαγής: %s"
"https://www.paysafecash.com/en/","https://www.paysafecash.com/en/"
"PAY WITH CASH: Generate a barcode and go to a <a href=""https://www.paysafecash.com/pos"" target=""blank"">payment point near you</a> to complete the payment.","ΠΛΗΡΩΜΗ ΤΟΙΣ ΜΕΤΡΗΤΟΙΣ: Δημιούργησε το Barcode και <a href=""https://www.paysafecash.com/pos"" target=""blank"">πήγαινε στο πλησιέστερο παράρτημα</a> για να ολοκληρώσεις την πληρωμή."
