"General Settings","Allgemeine Einstellungen"
"Version Information","Versionsinformationen"
"Module enabled","Modul aktiviert"
"Select Yes to enable the module.","Bitte Ja auswählen, um das Modul zu aktivieren"
"Yes", "Ja"
"No", "Nein"
"Success URL","Succes URL"
"The page a customer is redirected to when an order is accepted. Leave blank for default magento.","Die Seite auf die ein Kunde umgeleitet wird, wenn eine Bestellung angenommen worden ist. Feld leer lassen für die Magento-Eigene Seite"
"Validation URL", "Bestätigungs-URL"
"The page a customer is redirected to when an order is denied by validation error. Leave blank for default magento.", "Die Seite auf die ein Kunde umgeleitet wird, wenn eine Bestellung abegelehnt wurde aufgrund einer negativen Prüfung. Feld leer lassen für die Magento-Eigene Seite"
"Failure URL","Error-URL"
"The page a customer is redirected to when an order is denied. Leave blank for default magento.","Die Seite auf die ein Kunde umgeleitet wird, wenn eine Bestellung abegelehnt wurde. Feld leer lassen für die Magento-Eigene Seite"
"Auto-Invoice","Automatische Rechnung"
"Select Yes to automatically invoice orders in Magento when they are accepted by Riverty","Wähle Ja, um in Magento automatisch Rechnungen für Bestellungen zu generieren, wenn sie von Riverty akzeptiert wurden"
"Yes, direct", "Ja, direkt"
"Yes, at selected status", "Ja, bei ausgewähltem Status"
"Yes, at shipping", "Ja, bei Versand"
"Auto invoice status", "Status der automatischen Rechnung"
"Select status on which the invoice must be created", "Bitte wähle den Status, in welchem die Rechnung generiert werden soll"
"Send Invoice Mail", "Sende Rechnungs-E-Mail"
"Select Yes to send Magento Invoice mail", "Wähle Ja, um eine Magento Rechnungs-E-Mail zu versenden"
"Separate Discount", "Rabatt abziehen"
"Select Yes to sent the discount as separate order line to Riverty", "Wähle Ja, um den Rabatt als separate Rechnungsposition an Riverty zu übermitteln"
"Debug","Debug"
"Select if you want extra information to debug.","Auswählen, um den Debugmodus zu aktivieren und zusätzliche Informationen zu erhalten."
"Debug E-mail","Debug E-mail"
"For multiple emails separate them using a comma.","Mehrere E-Mail-Adressen mit einem Komma trennen"

"Tax Settings","Einstellungen der Steuerklassen"
"High VAT tax classes","Allgemeine Umsatzsteuersatz"
"Select which tax classes count as 'high' VAT","Bitte wähle die Steuerklassen, welche als 'Allgemein' einzustufen sind"
"Low VAT tax classes","Ermäßigte Umsatzsteuersatz"
"Select which tax classes count as 'low' VAT","Bitte wähle die Steuerklassen, welche als 'Ermäßigt' einzustufen sind"
"Zero VAT tax classes","Keine Umsatzsteuer (Steuersatz von Null)"
"Select which tax classes count as 'zero' VAT","Bitte wähle die Steuerklassen, welche als 'Null' einzustufen sind"
"No VAT tax classes","Umsatzsteuerbefreit"
"Select which tax classes count as 'no' VAT","Bitte wähle die Steuerklassen, welche als 'Befreit' einzustufen sind"
"Tax class for Discount","Steuerklasse für Rabatte"
"Select which tax class should be used for the Discount","Bitte wähle die Steuerklassen, welche als 'Rabatt' einzustufen sind"

"Riverty NL Digital Invoice","Riverty NL Digital Invoice"
"Riverty BE Digital Invoice","Riverty BE Digital Invoice"
"Riverty NL B2B Digital Invoice","Riverty NL B2B Digital Invoice"
"Riverty NL Direct Debit","Riverty NL Direct Debit"
"Riverty DE Digital Invoice","Riverty DE Digital Invoice"
"Extra optional portfolio","Extra optional portfolio"

"Portfolio enabled","Portfolio aktivieren"
"Select Yes to enable the portfolio.","Wähle Ja, um das Portfolio zu aktivieren"
"Your current IP Adresses","Deine aktuelle IP-Adresse"
"Show payment method only for certain IP adresses","Zeige diese Zahlmethoden ausschließlich bestimmten IP-Adressen"
"Hide payment method only for certain IP adresses","Verberge diese Zahlmethode für bestimmte IP-Adressen"
"IP Adresses","IP Adressen"
"Use comma to seperate IP adresses","Mehreren IP-Adressen bitte mit Komma trennen"
"Mode","Modus"
"When the base configuration is still in test mode. Live mode of the portfolio is overruled.","Wenn sich die Basiskonfiguration noch im Testmodus befindet, wird der Produktivmodus des Portfolios ignoriert"
"Select Live to preform live transactions.","Wähle Live, um Transaktionen im Produktivsystem auszuführen"
"Live merchantID","Live merchantID"
"Your user account is provided by Riverty.","Dein Account wird von Riverty bereitgestellt"
"To get an account contact Riverty.","Für einen Account, bitte Riverty kontaktieren"
"Test merchantID","Test merchantID"
"Portfolio ID","Portefeuille ID"
"Riverty will deliver a portfolio ID","Riverty wird eine Portfolio ID bereitstellen"
"Live Password","Produktiv Passwort"
"Test Password","Test Passwort"
"Your Password is provided by Riverty.","Dein Passwort wird von Riverty bereitgestellt"
"Portfolio country", "Portfolio-Land"
"Select the country of transaction contract", "Wähle das Land des Vetragsgeschäfts"
"Netherlands", "Niederlande"
"Belgium", "Belgien"
"Germany", "Deutschland"
"Austria", "Österreich"
"Switzerland", "Schweiz"
"Sweden", "Schweden"
"Finland", "Finnland"
"Norway", "Norwegen"
"Denmark", "Dänemark"
"Portfolio type","Portfolio-Typ"
"Select the type of transaction contract","Bitte wähle die Art des Vertraggeschäfts"
"Show bankaccount input field", "Zeige Eigabefeld für Kontonummer"
"Select Yes to show the bankaccount input field.", "Wähle Ja, um das Eigabefeld für Kontonummer anzuzeigen"
"Show gender input field", "Zeige Eingabefeld für Geschlecht"
"Select Yes to show the gender input field.", "Wähle Ja, um das Eingabefeld für Geschlecht anzuzeigen"
"Show phone number input field", "Zeige Eingabefeld für Telefonnummer"
"Select Yes to show the phone number input field.", "Wähle Ja, um das Eingabefeld für Telefonnummer anzuzeigen"
"Show date of birth input field", "Zeige Eingabefeld für Geburtsdatum"
"Select Yes to show the date of birth input field.", "Wähle Ja, um das Eingabefeld für Geburtsort anzuzeigen"
"Show terms and conditions checkbox", "Zeige AGB-Checkbox"
"Select Yes to show the terms and conditions checkbox.", "Wähle Ja, um die AGB-Checkbox anzuzeigen"
"Portfolio area","Portfolio-Bereich"
"Select where the portfolio will be available","Zeige wo das Portfolio vefügbar ist"
"Portfolio label","Portfolio Label"
"The label shown on the frontend","Der Titel der im Frontend angezeigt werden soll"
"Portfolio footnote","Portfolio Fußnote"
"Shown after label","Untertitel"
"Portfolio extended information","Erweiterte Informationen zum Portfolio"
"Extended information about the Riverty Payment Method which for example will be included in transactional emails.","Erweitere die Informationen zur Zahlung mit Riverty welche z.B. in Transaktions E-Mails angezeigt werden"
"Minimal Amount","Mindestbetrag"
"No value will allow all","Lass dieses Feld frei, um alle Beträge zu ermöglichen"
"Maximum Amount","Maximalbetrag"
"Maximum Amount for New Riverty Customers","Maximalbetrag für Riverty-Neukunden"
"N.B. This value does not influence whether or not this portfolio is available. This is only used as a label!","N.B. Dieser Wert beeinflusst nicht ob dieses Portfolio verfügbar ist oder nicht. Es wird lediglich als Label verwendet."
"Status Accepted No Invoice", "Status akzeptiert, keine Rechnung"
"New is the default state for a new order without invoice.", "'Neu' ist die Voreinstellung für eine neue Bestellung ohne Rechnung"
"For administrative purposes a new status can be created connected to new.","Für administrative Zwecke kann ein neuer Status erstellt und mit 'Neu' verbunden werden"
"Status Pending","Status ausstehend"
"Pending is the default state for a new order.","'Ausstehend' ist die Voreinstellung für eine neue Bestellung"
"Status Accepted","Status akzeptiert"
"Processing is the default state for an order with an invoice or a shipment.","'In Verarbeitung' is die Voreinstellung für eine Bestellung mit Rechnung oder Sendung"
"For administrative purposes a new status can be created connected to processing.","Für administrative Zwecke kann ein neuer Status erstellt und mit 'In Verarbeitung' verbunden werden"
"Status Refused","Status verweigert"
"Canceled is the default state for an unprocessed order terminated.","'Abgelehnt' ist die Voreinstellung für unverarbeitet beendete Bestellung."
"Allowed Countries", "Genehmigte Länder"
"Payment from Specific Country", "Zahlungen nur aus einem spezifischen Land erlauben"
"Only available if 'Payment from applicable countries' is set to 'specific countries'.", "Nur verfügbar wenn 'Zahlung aus einem geeigneten Land' auf 'spezifisches Land' gesetzt wurde"
"Allowed Client groups","Genehmigte Kundengruppen"
"Select whether all customers may make use of this payment option, or only customers from specific customer groups.","Wähle aus, ob alle Kunden oder nur bestimmte Kundengruppen diese Zahlart verwenden dürfen"
"Specific client groups","Spezifische Kundengruppen"
