"General Settings","Generelle innstillinger"
"Extension version","Versjonsinformasjon"
"Module enabled","Modul aktivert"
"Select Yes to enable the module.","Velg Ja for å aktivere modulen."
"Show advanced settings","Vis avanserte innstillinger"
"Select Yes to show advanced settings","Velg Ja for å vise avanserte innstillinger"
"Yes","Ja"
"No","Nei"
"Success URL","Suksess URL"
"The page a customer is redirected to when an order is accepted. Leave blank for default magento.","Siden kunden omdirigeres til når en bestilling er akseptert. Hold feltet åpent for standard magento."
"Validation URL","Valideringsadresse (URL)"
"The page a customer is redirected to when an order is denied by validation error. Leave blank for default magento.","Siden kunden omdirigeres til når en bestilling avslås på grunn av valideringsfeil. Hold feltet åpent for standard magento."
"Failure URL","Feiladresse (URL)"
"The page a customer is redirected to when an order is denied. Leave blank for default magento.","Siden kunden omdirigeres til når en bestilling avslås. Legg tomt for standard magento."
"Auto-Invoice","Auto-faktura"
"Select Yes to automatically invoice orders in Magento when they are accepted by Riverty","Velg Ja for å fakturere bestillinger automatisk i Magento når de blir akseptert av Riverty"
"Yes, direct","Ja, direkte"
"Yes, at selected status","Ja, på valgt status"
"Yes, at shipping","Ja, ved frakt"
"Auto invoice status","Automatisk faktura status"
"Select status on which the invoice must be created","Velg status som fakturaen må opprettes på"
"Send Invoice Mail","Send faktura e-post"
"Select Yes to send Magento Invoice mail","Velg Ja for å sende Magento faktura-mail"
"Separate Discount","Separat rabatt"
"Select Yes to sent the discount as separate order line to Riverty","Velg Ja for å sende rabatten som en separat ordrelinje til Riverty"
"Debug","Debug"
"Select if you want extra information to debug.","Velg om du vil ha ekstra informasjon til å feilsøke."
"Debug E-mail","Feilsøk e-post"
"For multiple emails separate them using a comma.","I tilfeller med flere e-postadresser, bruk komma for å skille mellom dem"

"Tax Settings","Instillinger Skatt"
"High VAT tax classes","Skatteklasse moms - HØY"
"Select which tax classes count as 'high' VAT","Velg hvilke skatteklasser som reknes som 'høy' moms"
"Low VAT tax classes","Skatteklasse moms - LAV"
"Select which tax classes count as 'low' VAT","Velg hvilke skatteklasser som reknes som 'lav' moms"
"Zero VAT tax classes","Skatteklasse moms - NULL"
"Select which tax classes count as 'zero' VAT","Velg hvilke skatteklasser som reknes som 'null' moms"
"No VAT tax classes","Skatteklasse moms - INGEN"
"Select which tax classes count as 'no' VAT","Velg hvilke skatteklasser som reknes som 'ingen' moms"
"Tax class for Discount","Skatteklasse for rabatt"
"Select which tax class should be used for the Discount","Velg hvilke skatteklasser som skal brukes ved rabatt"

"Riverty NL Digital Invoice","Riverty NL Digital Faktura"
"Riverty BE Digital Invoice","Riverty BE Digital Faktura"
"Riverty NL B2B Digital Invoice","Riverty NL B2B Digital Faktura"
"Riverty NL Direct Debit","Riverty NL Direkte Debitering"
"Riverty DE Digital Invoice","Riverty DE Digital Faktura"
"Extra optional portfolio","Ekstra valgfri portefølje"

"Portfolio enabled","Portefølje aktivert"
"Select Yes to enable the portfolio.","Velg Ja for å aktivere porteføljen."
"Your current IP Adresses","Dine nåværende IP-adresser"
"Show payment method only for certain IP adresses","Vis kun betalingsmetode for bestemte IP-adresser"
"Hide payment method only for certain IP adresses","Skjul betalingsmåten for bestemte IP-adresser"
"IP Adresses","IP-adresser"
"Use comma to seperate IP adresses","Bruk komma for å skille mellom IP-adresser"
"Mode","Modus"
"When the base configuration is still in test mode. Live mode of the portfolio is overruled.","Når grunnkonfigurasjonen fortsatt er i testmodus.  Live mode of the portfolio is overruled."
"Select Live to preform live transactions.","Velg Live for å utføre live-transaksjoner."
"Live merchantID","Live merchantID"
"Your user account is provided by Riverty.","Din brukerkonto er levert av Riverty."
"To get an account contact Riverty.","For å få en konto, kontakt Riverty."
"Test merchantID","Test merchantID"
"Portfolio ID","Portefølje ID"
"Riverty will deliver a portfolio ID","Riverty vil utlevere en portefølje ID"
"Live Password","Live-passord"
"Test Password","Testpassord"
"Your Password is provided by Riverty.","Ditt passord blir levert av Riverty."
"Portfolio country","Porteføljeland"
"Select the country of transaction contract","Velg land for transaksjonskontrakt"
"Netherlands","Nederland"
"Belgium","Belgia"
"Germany","Tyskland"
"Austria","Østerrike"
"Switzerland","Sveits"
"Sweden","Sverige"
"Finland","Finland"
"Norway","Norge"
"Denmark","Danmark"
"Portfolio type","Porteføljetype"
"Select the type of transaction contract","Velg type transaksjonskontrakt"
"Show bankaccount input field","Vis inntastingsfelt for bankkonto"
"Select Yes to show the bankaccount input field.","Velg Ja for å vise inntastingsfeltet for bankkonto."
"Show gender input field","Vis inntastingsfelt for kjønn"
"Select Yes to show the gender input field.","Velg Ja for å vise inntastingsfelt for kjønn"
