"You will be redirected to the Paysafecash website when you place an order.","You will be redirected to the Paysafecash website when you place an order."
"You will be redirected to Paysafecash in a few seconds.","You will be redirected to Paysafecash in a few seconds."
"Paysafecash is a cash payment option. Generate a QR/barcode and pay at a nearby shop. More information and our payment points can be found at <a href=""https://www.paysafecash.com"" target=""_blank"">www.paysafecash.com</a>","Paysafecash is een contante betaalmethode. Genereer een QR-code/barcode en betaal in een shop in je buurt. Meer informatie en onze partnerwinkels vind je op <a href=""https://www.paysafecash.com"" target=""_blank"">www.paysafecash.com</a>"
"If the test mode is enabled you are making transactions against paysafecash test environment. Therefore the test environment API key is necessary to be set.","If the test mode is enabled you are making transactions against paysafecash test environment. Therefore the test environment API key is necessary to be set."
"This key is provided by the paysafecash support team. There is one key for the test- and one for production environment.","This key is provided by the paysafecash support team. There is one key for the test- and one for production environment."
"This field specifies the used Reporting Criteria. You can use this parameter to distinguish your transactions per brand/URL. Use this field only if agreed beforehand with the paysafecash support team. The value has to be configured in both systems.","This field specifies the used Reporting Criteria. You can use this parameter to distinguish your transactions per brand/URL. Use this field only if agreed beforehand with the paysafecash support team. The value has to be configured in both systems."
"Please select all countries where paysafecash is live and your webshop is live. For details about the available countries for paysafecash, please align with the paysafecash support team.","Please select all countries where paysafecash is live and your webshop is live. For details about the available countries for paysafecash, please align with the paysafecash support team."
"Paysafecash","Paysafecash"
"<a href=""/#"">Here</a> you can find the Installation instructions","<a href=""/#"">Here</a> you can find the Installation instructions"
"%s Your payment was successful. Thank you for paying with Paysafecash. Transaction ID: %s","%s Jouw betaling is gelukt. Bedankt om met Paysafecash te betalen. Transactienummer: %s"
"Thank you for your order! Please find the nearest payment point to pay.","Bedankt voor de bestelling! Ga a.u.b. naar de dichtstbijzijnde partnerwinkel om te betalen."
"Unfortunately, a technical error has occurred. Please try again later or contact the Support Team.","Helaas konden wij uw betaling niet uitvoeren in verband met een technische storing. Contacteer ons aub op <a href='mailto:sales@chefstore.nl'>sales@chefstore.nl</a> zodat wij u verder kunnen helpen."
"%s Payment interrupted! Transaction number: %s","%s betaling afgebroken! Transactienummer: %s"
"https://www.paysafecash.com/en/","https://www.paysafecash.com/en/"
"PAY WITH CASH: Generate a barcode and go to a <a href=""https://www.paysafecash.com/pos"" target=""blank"">payment point near you</a> to complete the payment.","CONTANT BETALEN: Genereer de barcode en <a href=""https://www.paysafecash.com/pos"" target=""blank"">ga naar de dichtstbijzijnde partnerwinkel</a> om de betaling te voltooien."
"Proceed to Checkout","Ga door naar betalen"
