"Your VAT-ID is valid.","Su identificación de IVA es válida."
"We have identified you as EU business customer, you can order VAT-exempt in our shop now.","Lo hemos identificado como cliente comercial de la UE, ahora puede solicitarlo exento de IVA en nuestra tienda."
"We have identified you as business customer.","Lo hemos identificado como cliente comercial."
"Your VAT-ID is invalid, please check the syntax.","Su ID de IVA no es válido, verifique la sintaxis."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","El ID de IVA dado no es válido, verifique la sintaxis. Si este error persiste, comuníquese directamente con nosotros para registrar una cuenta de cliente con exención de impuestos."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Actualmente, el servicio del estado miembro no está disponible, no pudimos validar su identificación de IVA para emitir una orden exenta de IVA. De todos modos, puede continuar con su registro y validarlo más tarde en su cuenta de cliente."
"Currently the European VIES service is unavailable, but you can proceed with your registration and validate later from your customer account management.","Actualmente, el servicio VIES europeo no está disponible, pero puede continuar con su registro y validarlo más tarde desde la administración de su cuenta de cliente."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Hubo un error al procesar su solicitud. Si este error persiste, comuníquese directamente con nosotros para registrar una cuenta de cliente con exención de impuestos."
"VAT-ID validation results","Resultados de validación de IVA-ID"
"EU VAT-ID Syntax Information","Información de sintaxis de identificación de IVA de la UE"
"Syntax Information","Información de sintaxis"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Ingrese su ID de IVA incluido el código de país de dos letras ISO-3166."
"Please wait while we validate your VAT-ID","Espere mientras validamos su identificación de IV"
