"Standard","Standaard"
"Minimal","Minimaal"
"Optional","Optioneel"
"Required","Vereist"
"Hidden","Verborgen"
The fire checkout is disabled.,Firecheckout is uitgeschakeld.
Fire Checkout Section,Firecheckout sectie
Fire Checkout,Firecheckout
"Default Shipping Method","Standaard verzendmethode"
"Default Payment Method","Standaard betaalmethode"
"Show Shipping Address Form","Toon bezorgadres formulier"
"Show Subscribe to Newsletter Checkbox","Toon Schrijf in op nieuwsbrief checkbox"
"Address Form Fields","Adresformulier velden"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Voordat u enige velden gaat aanpassen, wees er zeker van dat deze niet vereist zijn door uw aanbieder van betalingen/verzenden"
"Output Type","Output type"
"Create account for later use","Maak een account aan voor later gebruik"
"Checkout Review","Controleer bestelling"
"Already registered? Login into your account","Bent u al geregistreerd? Log dan in op uw account"
"Show Comment Field","Toon veld voor opmerkingen"
"Guest checkout is allowed","Gastbetaling is toegestaan"
"Registration is required","Registratie is vereist"
User is registered during checkout without prompting a password,Gebruiker wordt geregistreerd tijdens betaling zonder een wachtwoord te gebruiken
"Registration mode","Registratie modus"
"Show Discount Coupon Field","Toon Kortingsbon veld"
Firecheckout on Mobile Devices,Firecheckout op mobiele apparaten
Redirect to firecheckout after adding an item to the shopping cart,Ga naar firecheckout na het toevoegen van een artikel aan de winkelwagen
"Register customer during Paypal Express checkout if prompted","Registreer klant tijdens Paypal express betaling"
"Ship to the same address","Verzend naar hetzelfde adres"
"Validate taxvat number","Valideer BTW nummer"
"Use online VIES validation","Gebruik online VIES validatie"
"Show Giftcard Field","Toon Cadeaukaart Veld"
"Works with Magento Enterprise/Pro Versions Only","Werkt Alleen met Magento Enterprise/Pro Versies"
"Address Form Fields Sort Order","Adresformulier Veld Volgorde"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","Om de velden in een rij te plaatsen, zet ze in oplopende volgorde: 1,2 of 12,13 of 20,21</br>Om velden in verschillende rijen te plaatsen, verbreek de orde: 1,3 of 12,18 of 20,30"
"Invalid VAT number","Ongeldig BTW nummer"
