"Your VAT-ID is valid.","Il tuo IVA-ID è valido."
"We have identified you as EU business customer, you can order VAT-exempt in our shop now.","Vi abbiamo identificato come cliente commerciale dell'Unione Europea, è possibile ordinare in esenzione IVA nel nostro negozio."
"We have identified you as business customer.","Vi abbiamo identificato come clienti commerciali."
"Your VAT-ID is invalid, please check the syntax.","Il tuo IVA-ID non è valido, si prega di controllare la sintassi."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","La data IVA-ID non è valido, si prega di controllare la sintassi. Se l'errore rimane contattateci direttamente a registrare un account cliente con esente da tassazione con noi."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Attualmente il servizio Stato membro non è disponibile, non siamo riusciti a convalidare il IVA-ID di emettere un ordine esente IVA. In ogni caso si può procedere con la registrazione e convalidare successivamente nel tuo account cliente."
"Currently the European VIES service is unavailable, but you can proceed with your registration and validate later from your customer account management.","Attualmente il servizio europeo VIES non è disponibile, ma si può procedere con la registrazione e convalidare successivamente dal tuo account management cliente."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Si è verificato un errore durante l'elaborazione della richiesta. Se l'errore rimane contattateci direttamente a registrare un account cliente con esente da tassazione con noi."
"VAT-ID validation results","Risultati della convalida IVA-ID"
"EU VAT-ID Syntax Information","Partita IVA-ID Sintassi Informazioni"
"Syntax Information","Informazioni sintassi"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Inserisci il tuo IVA-ID tra cui la ISO-3166 codice a due lettere."
"Please wait while we validate your VAT-ID","Si prega di attendere mentre convalidare il tuo IVA-ID"

"Debug mode","Modalità di debug"
"IPv6 compatibility mode","Modalità di compatibilità IPv6"
