"General Settings","Generelle indstillinger"
"Version Information","Oplysninger om version"
"Module enabled","Modul slået til"
"Select Yes to enable the module.","Vælg Ja for at slå modul til"
"Yes", "Ja"
"No", "Nej"
"Success URL","Succes-URL-adresse"
"The page a customer is redirected to when an order is accepted. Leave blank for default magento.","Den side, en kunde omdirigeres til, når en ordre accepteres. Efterlad tom for standard-Magento."
"Validation URL", "Validerings-URL-adresse"
"The page a customer is redirected to when an order is denied by validation error. Leave blank for default magento.", "Den side, en kunde omdirigeres til, når en ordre afvises pga. en valideringsfejl. Efterlad tom for standard-Magento."
"Failure URL","Fejl-URL-adresse"
"The page a customer is redirected to when an order is denied. Leave blank for default magento.","Den side, en kunde omdirigeres til, når en ordre afvises. Efterlad tom for standard-Magento."
"Auto-Invoice","Automatisk fakturering"
"Select Yes to automatically invoice orders in Magento when they are accepted by AfterPay","Vælg Ja for at fakturere ordrer i Magento automatisk, når de accepteres af AfterPay"
"Yes, direct", "Ja, direkte"
"Yes, at selected status", "Ja, ved valgt status"
"Yes, at shipping", "Ja, ved afsendelse"
"Auto invoice status", "Automatisk faktureringsstatus"
"Select status on which the invoice must be created", "Vælg status for, hvornår fakturaen skal oprettes"
"Send Invoice Mail", "Send faktura-e-mail"
"Select Yes to send Magento Invoice mail", "Vælg Ja for at sende en Magento-fakturae-e-mail"
"Separate Discount", "Separat rabat"
"Select Yes to sent the discount as separate order line to AfterPay", "Vælg Ja for at sende rabatten som separat ordrelinje til AfterPay"
"Debug","Fejlfinding"
"Select if you want extra information to debug.","Vælges, hvis du vil have flere oplysninger til at finde fejl."
"Debug E-mail","Fejlfinding i e-mail"
"For multiple emails separate them using a comma.","Ved flere e-mail skal der være komma imellem dem."
"Tax Settings","Indstillinger for skat"
"High VAT tax classes","Skatteklasser med høj moms"
"Select which tax classes count as 'high' VAT","Vælg, hvilke skatteklasser der tæller som “høj” moms"
"Low VAT tax classes","Skatteklasser med lav moms"
"Select which tax classes count as 'low' VAT","Vælg, hvilke skatteklasser der tæller som “lav” moms"
"Zero VAT tax classes","Skatteklasser med nul moms"
"Select which tax classes count as 'zero' VAT","Vælg, hvilke skatteklasser der tæller som “nul” moms"
"No VAT tax classes","Skatteklasser uden moms"
"Select which tax classes count as 'no' VAT","Vælg, hvilke skatteklasser der tæller som “ingen” moms"
"Tax class for Discount","Skatteklasse for rabat"
"Select which tax class should be used for the Discount","vælg hvilken skatteklasse, der skal bruges for rabatten"

"AfterPay NL Digital Invoice","Digital AfterPay-faktura, NL"
"AfterPay BE Digital Invoice","Digital AfterPay-faktura, BE"
"AfterPay NL B2B Digital Invoice","Digital AfterPay-faktura, B2B"
"AfterPay NL Direct Debit","Direkte AfterPay-debitering, NL"
"AfterPay DE Digital Invoice","Digital AfterPay-faktura, DE"
"Extra optional portfolio","Ekstra valgfri portefølje"

"Portfolio enabled","Portefølje slået til"
"Select Yes to enable the portfolio.","Vælg Ja for at slå porteføljen til."
"Your current IP Adresses","Din nuværende ip-adresse"
"Show payment method only for certain IP adresses","Vis betalingsmetode for kun bestemte ip-adresser"
"Hide payment method only for certain IP adresses","Skjul betalingsmetode for kun bestemte ip-adresser"
"IP Adresses","Ip-adresse"
"Use comma to seperate IP adresses","Brug komma til at adskille ip-adresser"
"Mode","Funktionstilstand"
"When the base configuration is still in test mode. Live mode of the portfolio is overruled.","Når basiskonfigurationen stadig er i testtilstand. Porteføljens live-tilstand tilsidesættes."
"Select Live to preform live transactions.","Vælg Live for at foretage transaktioner live."
"Live merchantID","Live-merchantID"
"Your user account is provided by AfterPay.","Brugerkontoen leveres af AfterPay."
"To get an account contact AfterPay.","Du skal kontakte AfterPay for at få en konto."
"Test merchantID","Test-merchantID"
"Portfolio ID","Portefølje-id"
"Afterpay will deliver a portfolio ID","Afterpay leverer portefølje-id"
"Live Password","Live-adgangskode"
"Test Password","Testadgangskode"
"Your Password is provided by AfterPay.","Adgangskoden leveres af AfterPay."
"Portfolio country", "Porteføljeland"
"Select the country of transaction contract", "Vælg land for transaktionskontrakten"
"Netherlands", "Holland"
"Belgium", "Belgien"
"Germany", "Tyskland"
"Austria", "Østrig"
"Switzerland", "Schweiz"
"Sweden", "Sverige"
"Finland", "Finland"
"Norway", "Norge"
"Denmark", "Danmark"
"Portfolio type","Porteføljetype"
"Select the type of transaction contract","Vælg transaktionskontrakttype"
"Show bankaccount input field", "Vis indtastningsfeltet for bankkonto"
"Select Yes to show the bankaccount input field.", "Vælg Ja for at få vist indtastningsfeltet for bankkonto."
"Show gender input field", "Vis indtastningsfeltet køn"
"Select Yes to show the gender input field.", "Vælg Ja for at få vist indtastningsfeltet for køn."
"Show phone number input field", "Vis indtastningsfeltet telefonnummer"
"Select Yes to show the phone number input field.", "Vælg Ja for at få vist indtastningsfeltet for telefonnummer."
"Show date of birth input field", "Vis indtastningsfeltet fødselsdato"
"Select Yes to show the date of birth input field.", "Vælg Ja for at få vist indtastningsfeltet for fødselsdato."
"Show terms and conditions checkbox", "Vis afkrydsningsfeltet vilkår og betingelser"
"Select Yes to show the terms and conditions checkbox.", "Vælg Ja for at få vist afkrydsningsfeltet vilkår og betingelser."
"Portfolio area","Porteføljeområde"
"Select where the portfolio will be available","Vælg, hvor porteføljen er til rådighed"
"Portfolio label","Porteføljeetiket"
"The label shown on the frontend","Den etiket, der vises frontend"
"Portfolio footnote","Porteføljefodnote"
"Shown after label","Vises efter etiketten"
"Portfolio extended information","Udvidede porteføljeoplysninger"
"Extended information about the AfterPay Payment Method which for example will be included in transactional emails.","Udvidede oplysninger om den AfterPay-betalingsmetode, som er med i transaktions-e-mailene."
"Minimal Amount","Minimumsbeløb"
"No value will allow all","Ingen værdi tillader alle"
"Maximum Amount","Maksimumbeløb"
"Maximum Amount for New AfterPay Customers","Maksimumbeløb for nye AfterPay-kunder"
"N.B. This value does not influence whether or not this portfolio is available. This is only used as a label!","N.B. Værdien har ikke indflydelse på, om porteføljen er til rådighed eller ej. Den bruges kun som etiket."
"Status Accepted No Invoice", "Status accepteret, ingen faktura"
"New is the default state for a new order without invoice.", "Ny er standardtilstanden for en ny ordre uden faktura."
"For administrative purposes a new status can be created connected to new.","Man kan oprette en ny status, som er tilknyttet ny, til administrationsformål."
"Status Pending","Uafsluttet status"
"Pending is the default state for a new order.","Uafsluttet standardtilstanden for en ny ordre."
"Status Accepted","Status accepteret"
"Processing is the default state for an order with an invoice or a shipment.","Behandling er standardtilstanden for en ordre uden faktura eller forsendelse."
"For administrative purposes a new status can be created connected to processing.","Man kan oprette en ny status, som er tilknyttet behandling, til administrationsformål."
"Status Refused","Status afvist"
"Canceled is the default state for an unprocessed order terminated.","Annulleret er standardtilstanden for en ubehandlet ordre, der afsluttes."
"Allowed Countries", "Tilladte lande"
"Payment from Specific Country", "Betaling fra et specifikt land"
"Only available if 'Payment from applicable countries' is set to 'specific countries'.", "Kun til rådighed, hvis “Betaling fra anvendelige land” indstilles til “Specifikke lande”
"Allowed Client groups","Tilladte kundegrupper"
"Select whether all customers may make use of this payment option, or only customers from specific customer groups.","Vælg, om alle kunder må bruge denne betalingsmulighed, eller om det kun er kunde fra specifikke kundegrupper."
