"Your VAT-ID is valid.","Die angegebene USt.-ID ist gültig."
"We have identified you as EU business customer, you can order VAT-exempt in our shop now.","Sie wurden als EU-Unternehmen bestätigt."
"We have identified you as business customer.","Sie wurden als Geschäftskunde eingestuft."
"Your VAT-ID is invalid, please check the syntax.","Die angegebene USt.-ID ist ungültig oder falsch angegeben."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Die angegebene USt.-ID ist ungültig oder falsch angegeben."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Derzeit können USt.-IDs aus diesem Mitgliedsstaat aus technischen Gründen leider nicht überprüft werden. Sie können dennoch jetzt fortfahren und später ihre Ust.-ID erneut überprüfen lassen."
"Currently the European VIES service is unavailable, but you can proceed with your registration and validate later from your customer account management.","Derzeit kann ihre USt.-ID aus technischen Gründen leider nicht überprüft werden. Sie können dennoch jetzt fortfahren und später ihre Ust.-ID erneut überprüfen lassen."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Es kam zu einem Fehler bei ihrer Anfrage. Wenn dieser Fehler weiterhin auftritt, nehmen Sie bitte direkt Kontakt mit uns auf."
"VAT-ID validation results","Ergebnisse der USt.-ID Validierung"
"EU VAT-ID Syntax Information","Informationen zum Aufbau der USt.-ID"
"Syntax Information","Eingabehilfe"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Bitte geben Sie Ihre USt.-ID inklusive Ländercode an."
"Please wait while we validate your VAT-ID","Bitte warten Sie, während wir Ihre USt.-ID überprüfen"

"Debug mode","Debug Modus"
"IPv6 compatibility mode","IPv6 Kompatibilitätsmodus"
"This binds your server IPv4 address to the request made to VIES instead of using your IPv6 address. You might need to enable this depending on your hosting environment. Enable it if you have problems with VIES connectivity.","Verwenden Sie diese Einstellung bei dauerhaften Verbindungsproblemen mit der EU Schnittstelle."
"Server IPv4 address","IPv4 Adresse Ihres Servers"
"Logs all module relevant information to /var/log/system.log - OFF per default.","Protokolliert relevante Informationen nach /var/log/system.log - Standart: Deaktiviert."
"License Key","Lizenzschlüssel"
"Enable EU VAT Enhanced","EU VAT Enhanced aktivieren"
